mAP,bbox_loss,loss
0.4709,0.3453,1.0470
0.6206,0.3029,1.0299
0.6774,0.2995,0.9194
0.7072,0.2849,0.8673
0.7563,0.2589,0.7935
0.7396,0.2626,0.7620
0.7255,0.2620,0.7699
0.7396,0.2573,0.7581
0.7960,0.2319,0.6326
0.8008,0.2269,0.6153
0.8025,0.2260,0.6103
0.8033,0.2250,0.6056
0.8033,0.2249,0.6034
0.8033,0.2254,0.6088
0.8043,0.2241,0.6035
0.8043,0.2229,0.5999
0.8042,0.2241,0.6036
0.8038,0.2224,0.5978
0.8045,0.2220,0.5996
0.8051,0.2227,0.5979
0.8048,0.2225,0.5990
0.8045,0.2230,0.5963
0.8051,0.2225,0.5980
0.8046,0.2216,0.5954
0.8054,0.2212,0.5956
0.8050,0.2212,0.5949
0.8052,0.2210,0.5916
0.8051,0.2216,0.5970
0.8055,0.2211,0.5942
0.8052,0.2205,0.5948
0.8059,0.2202,0.5977
0.8065,0.2205,0.5970
0.8050,0.2208,0.5981
0.8055,0.2197,0.5928
0.8068,0.2197,0.5944
0.8059,0.2201,0.6012
0.8058,0.2200,0.5938
0.7779,0.2186,0.5990
0.8061,0.2182,0.5887
0.8055,0.2191,0.5972
0.8054,0.2183,0.5931
0.8055,0.2189,0.5957
0.7776,0.2179,0.5963
0.8051,0.2191,0.5984
0.8057,0.2175,0.5964
0.8062,0.2191,0.5983
0.8063,0.2185,0.5945
0.8062,0.2184,0.5964
0.8059,0.2189,0.5965
0.7777,0.2172,0.6016
