mAP,bbox_loss,loss
0.4744,0.3390,1.0711
0.6288,0.3111,0.9714
0.6519,0.2924,0.8990
0.6569,0.2713,0.8567
0.7304,0.2641,0.8051
0.6731,0.2591,0.8909
0.7364,0.2573,0.7623
0.7355,0.2521,0.7469
0.7940,0.2348,0.6366
0.7981,0.2291,0.6188
0.7980,0.2268,0.6152
0.8007,0.2255,0.6153
0.8007,0.2250,0.6108
0.8012,0.2258,0.6123
0.8026,0.2251,0.6129
0.8023,0.2243,0.6078
0.8019,0.2245,0.6101
0.8032,0.2250,0.6108
0.8034,0.2249,0.6070
0.8038,0.2232,0.5991
0.8034,0.2241,0.6045
0.8040,0.2233,0.6040
0.8041,0.2222,0.5966
0.8053,0.2237,0.6034
0.8042,0.2225,0.6040
0.8030,0.2222,0.6047
0.8033,0.2215,0.6004
0.8033,0.2223,0.6053
0.8035,0.2232,0.6046
0.8039,0.2229,0.6072
0.8047,0.2218,0.6063
0.8039,0.2211,0.6048
0.8042,0.2214,0.6043
0.8037,0.2217,0.6061
0.8040,0.2218,0.6060
0.8045,0.2210,0.6063
0.8040,0.2218,0.6066
0.8034,0.2205,0.6093
0.8044,0.2209,0.6017
0.8038,0.2203,0.6032
0.8051,0.2220,0.6015
0.8045,0.2202,0.6012
0.8038,0.2195,0.6030
0.8043,0.2196,0.6017
0.8047,0.2186,0.6050
0.8043,0.2198,0.6061
0.8048,0.2202,0.6078
0.8051,0.2188,0.6039
0.8053,0.2185,0.6042
0.8058,0.2197,0.6045
