mAP,bbox_loss,loss
0.5271,0.7471,1.4415
0.6647,0.6141,1.2410
0.6802,0.5727,1.1867
0.6798,0.5220,1.1002
0.7141,0.5339,1.0832
0.7358,0.4852,1.0320
0.7377,0.4372,0.9546
0.7703,0.4349,0.9155
0.7913,0.3568,0.7642
0.7960,0.3529,0.7493
0.8028,0.3393,0.7239
0.8047,0.3350,0.7141
0.8049,0.3357,0.7212
0.8044,0.3330,0.7151
0.8052,0.3345,0.7135
0.8053,0.3360,0.7137
0.8057,0.3329,0.7112
0.8063,0.3313,0.7085
0.8055,0.3358,0.7154
0.8060,0.3303,0.7103
0.8068,0.3324,0.7138
0.8069,0.3333,0.7130
0.8069,0.3288,0.7055
0.8072,0.3309,0.7036
0.8076,0.3279,0.7044
0.8077,0.3232,0.6995
0.8076,0.3284,0.7048
0.8074,0.3222,0.6969
0.8085,0.3254,0.6989
0.8090,0.3239,0.7006
0.8081,0.3269,0.7091
0.8083,0.3194,0.6951
0.8077,0.3260,0.7023
0.8085,0.3274,0.7054
0.8090,0.3224,0.6998
0.8087,0.3187,0.6968
0.8086,0.3253,0.7067
0.8099,0.3244,0.6997
0.8088,0.3261,0.7025
0.8085,0.3233,0.6981
0.8097,0.3252,0.7021
0.8093,0.3195,0.6949
0.8090,0.3175,0.6935
0.8094,0.3210,0.6988
0.8085,0.3202,0.7014
0.8100,0.3205,0.6980
0.8100,0.3178,0.6955
0.8101,0.3211,0.6982
0.8105,0.3181,0.6906
0.8103,0.3188,0.6986
