mAP,bbox_loss,loss
0.4537,0.3452,1.0980
0.6601,0.3122,0.9308
0.6450,0.3005,0.9113
0.6864,0.2933,0.8897
0.7071,0.2800,0.8413
0.7149,0.2645,0.8015
0.7340,0.2659,0.7938
0.6615,0.2662,0.9351
0.7604,0.2367,0.6786
0.7907,0.2342,0.6488
0.7722,0.2312,0.6319
0.7990,0.2288,0.6217
0.7997,0.2291,0.6186
0.8007,0.2284,0.6182
0.8014,0.2280,0.6158
0.8004,0.2282,0.6165
0.8016,0.2281,0.6103
0.8015,0.2273,0.6156
0.8006,0.2275,0.6138
0.8029,0.2284,0.6115
0.8024,0.2272,0.6128
0.8031,0.2271,0.6184
0.8037,0.2264,0.6156
0.8043,0.2249,0.6120
0.8044,0.2260,0.6101
0.8039,0.2256,0.6144
0.8049,0.2261,0.6089
0.8050,0.2256,0.6053
0.8043,0.2248,0.6104
0.8065,0.2262,0.6125
0.8060,0.2251,0.6052
0.8065,0.2247,0.6037
0.8061,0.2243,0.6020
0.8061,0.2248,0.6034
0.8071,0.2241,0.6078
0.8055,0.2247,0.6099
0.8075,0.2236,0.6081
0.8071,0.2242,0.6092
0.8069,0.2245,0.6066
0.8069,0.2235,0.6061
0.8079,0.2238,0.6030
0.8070,0.2237,0.6083
0.8085,0.2235,0.6062
0.8091,0.2228,0.6025
0.8079,0.2236,0.6050
0.8084,0.2247,0.6060
0.8085,0.2234,0.6031
0.8078,0.2227,0.6031
0.8082,0.2233,0.6051
0.8090,0.2231,0.6033
