mAP,bbox_loss,loss
0.4759,0.3376,1.0341
0.6082,0.3186,0.9342
0.7000,0.2873,0.8643
0.6904,0.2649,0.8353
0.6684,0.2796,0.8571
0.7439,0.2542,0.7508
0.7498,0.2545,0.7832
0.7382,0.2595,0.7768
0.7937,0.2285,0.6344
0.8008,0.2267,0.6245
0.8028,0.2235,0.6099
0.8040,0.2220,0.6034
0.8048,0.2209,0.6015
0.8046,0.2204,0.6004
0.8051,0.2201,0.5977
0.8051,0.2203,0.6031
0.8057,0.2201,0.5962
0.8058,0.2189,0.5949
0.8058,0.2197,0.5961
0.8057,0.2201,0.5992
0.8055,0.2190,0.5970
0.8055,0.2182,0.5968
0.8065,0.2201,0.6000
0.8056,0.2194,0.5949
0.8053,0.2181,0.5996
0.8067,0.2180,0.5984
0.8064,0.2179,0.5932
0.8065,0.2177,0.6009
0.8064,0.2192,0.6004
0.8066,0.2187,0.6017
0.8063,0.2178,0.5972
0.8069,0.2179,0.5985
0.8074,0.2163,0.5977
0.8074,0.2162,0.5960
0.8064,0.2171,0.6014
0.8074,0.2168,0.6017
0.8084,0.2162,0.6060
0.8084,0.2163,0.6029
0.8069,0.2164,0.6041
0.8081,0.2167,0.6028
0.8076,0.2164,0.6022
0.8088,0.2168,0.6008
0.8073,0.2157,0.6055
0.8080,0.2157,0.5962
0.8084,0.2160,0.5986
0.8086,0.2158,0.6027
0.8081,0.2149,0.5937
0.8088,0.2162,0.6030
0.8098,0.2160,0.5981
0.8100,0.2160,0.5963
