mAP,bbox_loss,loss
0.5456,2.8392,3.5753
0.6620,2.5216,3.1545
0.6854,2.3996,2.9990
0.7057,2.1899,2.7408
0.7237,2.1598,2.7037
0.7334,2.1336,2.6567
0.7474,2.0975,2.6320
0.7342,2.0512,2.5650
0.7886,1.8423,2.2634
0.7955,1.8111,2.2128
0.7998,1.7903,2.1812
0.8004,1.7593,2.1511
0.8012,1.7646,2.1545
0.8009,1.7584,2.1461
0.8009,1.7567,2.1470
0.8013,1.7572,2.1481
0.8012,1.7506,2.1398
0.8015,1.7363,2.1239
0.8020,1.7495,2.1340
0.8021,1.7434,2.1286
0.8025,1.7462,2.1302
0.8030,1.7410,2.1318
0.8021,1.7455,2.1298
0.8034,1.7432,2.1289
0.8033,1.7443,2.1251
0.8043,1.7434,2.1252
0.8037,1.7374,2.1246
0.8031,1.7279,2.1093
0.8037,1.7373,2.1241
0.8038,1.7338,2.1155
0.8035,1.7300,2.1109
0.8038,1.7351,2.1204
0.8040,1.7264,2.1080
0.8039,1.7215,2.1059
0.8048,1.7292,2.1116
0.8044,1.7281,2.1097
0.8042,1.7261,2.1059
0.8045,1.7245,2.1093
0.8047,1.7181,2.0991
0.8051,1.7179,2.0974
0.8053,1.7182,2.0977
0.8049,1.7087,2.0895
0.8055,1.7183,2.0976
0.8048,1.7222,2.1020
0.8058,1.7167,2.0920
0.8055,1.7061,2.0808
0.8050,1.7080,2.0874
0.8047,1.7133,2.0939
0.8057,1.7027,2.0787
0.8054,1.7085,2.0864
