mAP,bbox_loss,loss
0.5046,3.1401,3.8848
0.6640,2.5584,3.2121
0.7046,2.3556,2.9595
0.6198,2.2485,3.1460
0.7253,2.0435,2.5871
0.7308,1.9443,2.4763
0.7393,1.9041,2.4078
0.7513,2.0039,2.5171
0.7667,1.6388,2.0576
0.7921,1.5896,1.9981
0.7954,1.5877,1.9916
0.7970,1.5714,1.9693
0.7969,1.5756,1.9692
0.7976,1.5704,1.9703
0.7986,1.5644,1.9629
0.7988,1.5589,1.9528
0.7990,1.5545,1.9498
0.7992,1.5497,1.9466
0.8000,1.5542,1.9462
0.8007,1.5516,1.9394
0.8000,1.5551,1.9482
0.8006,1.5552,1.9450
0.8004,1.5384,1.9296
0.8017,1.5449,1.9363
0.8011,1.5394,1.9310
0.8015,1.5438,1.9310
0.8018,1.5465,1.9316
0.8021,1.5436,1.9282
0.8019,1.5442,1.9319
0.8022,1.5375,1.9267
0.8028,1.5384,1.9244
0.8023,1.5377,1.9239
0.8035,1.5402,1.9252
0.8020,1.5397,1.9297
0.8022,1.5156,1.9010
0.8031,1.5274,1.9097
0.8030,1.5335,1.9187
0.8032,1.5273,1.9104
0.8031,1.5250,1.9113
0.8027,1.5351,1.9212
0.8042,1.5254,1.9059
0.8038,1.5230,1.9093
0.8031,1.5235,1.9061
0.8034,1.5370,1.9203
0.8032,1.5383,1.9193
0.8034,1.5127,1.8922
0.8036,1.5222,1.9002
0.8042,1.5209,1.9009
0.8043,1.5183,1.9051
0.8047,1.5136,1.8965
