mAP,bbox_loss,loss
0.5123,1.4426,2.2084
0.6555,1.1116,1.7529
0.6859,1.0644,1.7235
0.7021,1.0627,1.6303
0.7121,0.8964,1.4378
0.7411,0.8787,1.3648
0.7592,0.8057,1.2990
0.7705,0.7924,1.2725
0.7909,0.6895,1.1058
0.7981,0.6795,1.0822
0.7982,0.6628,1.0609
0.8017,0.6577,1.0423
0.8020,0.6533,1.0388
0.8027,0.6498,1.0348
0.8021,0.6520,1.0348
0.8029,0.6474,1.0271
0.8025,0.6457,1.0247
0.8025,0.6490,1.0322
0.8037,0.6454,1.0207
0.8028,0.6472,1.0275
0.8034,0.6419,1.0203
0.8029,0.6366,1.0131
0.8045,0.6434,1.0147
0.8049,0.6441,1.0223
0.8048,0.6403,1.0171
0.8049,0.6378,1.0178
0.8060,0.6411,1.0161
0.8046,0.6357,1.0115
0.8053,0.6325,1.0009
0.8049,0.6402,1.0140
0.8061,0.6436,1.0196
0.8057,0.6404,1.0168
0.8056,0.6267,0.9999
0.8059,0.6319,1.0063
0.8062,0.6383,1.0129
0.8061,0.6345,1.0055
0.8064,0.6325,1.0082
0.8057,0.6321,1.0070
0.8059,0.6361,1.0154
0.8062,0.6314,1.0053
0.8059,0.6302,1.0115
0.8070,0.6290,0.9950
0.8070,0.6313,1.0053
0.8072,0.6299,1.0019
0.8073,0.6338,1.0022
0.8081,0.6360,1.0126
0.8080,0.6299,1.0028
0.8076,0.6308,1.0026
0.8077,0.6297,1.0052
0.8073,0.6311,1.0085
